#Frame            H-O        H-OG1        H2N-O      H2N-OG1
     524       3.2683       2.4760       2.2845       2.5648
     525       3.1224       2.3221       2.4251       2.4771
     526       3.1801       2.4042       2.4354       2.5645
     527       3.2586       2.4269       2.5645       2.3832
     528       3.1693       2.5496       2.1187       2.5893
     529       3.4765       2.5200       1.8976       2.4590
     530       3.4524       2.5040       1.8943       2.6863
     531       3.2747       2.2882       2.4481       2.5568
     532       3.1705       2.4504       1.7994       2.8358
     533       3.5107       2.7862       1.8977       2.5039
     534       3.5891       2.7213       2.1248       2.3811
     535       3.6949       2.9771       2.1283       2.7171
     536       3.3156       2.2449       2.3575       2.6912
     537       3.1872       2.3373       1.9827       2.6299
     538       3.2863       2.6535       2.4859       2.4605
     539       3.1096       2.1746       2.0122       2.4478
     540       3.1803       2.7372       2.2293       2.3705
     541       3.2831       2.7253       2.2869       2.6899
     542       2.6861       2.5990       2.1300       2.5734
     543       3.2986       2.7220       2.2828       2.9014
     544       3.3239       2.9155       2.8342       2.7544
     545       2.8682       2.9602       2.6194       2.8313
     546       3.1429       2.4567       3.1369       3.0623
     547       3.3674       2.5043       3.6179       3.2124
     548       3.2197       3.1586       3.0698       2.5754
     549       3.0250       2.4691       2.7217       2.8085
     550       2.8204       2.5765       2.6843       2.5141
     551       2.6620       2.7215       2.4788       2.3867
     552       2.4502       2.5523       3.1546       2.8755
     553       2.8050       2.7930       2.4339       2.5418
     554       2.8963       2.7578       2.4651       2.3920
     555       3.0557       2.5910       2.2546       2.5007
     556       2.6828       2.6200       2.2335       2.7505
     557       2.8161       2.6497       2.0732       2.6252
     558       2.7508       2.6008       2.4736       2.7432
     559       2.6106       2.4868       2.8651       2.9082
     560       2.8773       2.8475       2.3871       2.6905
     561       2.8641       2.7362       2.1345       2.7295
     562       2.8748       2.5011       2.3778       2.5579
     563       2.9656       2.6077       2.8560       2.8801
     564       3.0702       2.6389       2.1108       2.7083
     565       3.2040       2.1931       3.3022       2.3123
     566       3.1808       2.4793       2.4047       2.4252
     567       3.0015       2.7130       2.5764       2.4297
     568       3.0497       2.3294       2.2003       2.5740
     569       3.2048       2.6047       2.1595       2.5389
     570       3.4300       2.8812       3.5707       2.5974
     571       3.0774       2.7430       2.6106       2.6994
     572       3.0981       2.5807       3.6946       2.7548
     573       3.0730       2.3196       1.9638       2.3463
     574       2.6881       2.3849       3.1204       2.5529
     575       2.5753       2.5381       2.3457       2.4500
     576       2.5482       2.7674       2.1657       2.5555
     577       3.1037       2.5201       2.5200       2.5866
     578       2.8563       2.5851       2.6339       2.3944
     579       2.5562       2.6827       2.4036       2.2651
     580       2.7327       2.6997       2.8790       2.7914
     581       2.5669       2.5030       2.7936       2.9944
     582       3.4667       2.2928       2.4262       2.4958
     583       3.3688       2.3401       3.4309       3.2233
     584       3.2962       2.3582       3.2402       2.5207
     585       3.1067       2.3475       3.0824       2.9452
     586       2.7619       2.5046       2.2547       2.7426
     587       2.8971       2.6262       2.5833       2.7611
     588       2.8852       2.3992       3.8320       2.9420
     589       3.0345       2.2120       2.7365       2.2757
     590       2.4990       2.8139       2.9807       2.3327
     591       2.6107       2.6418       3.6633       3.1281
     592       2.4778       2.3944       3.0421       2.4602
     593       2.6781       2.7582       3.2870       3.0733
     594       2.4941       2.5627       2.7257       2.4540
     595       2.1722       2.7603       2.2460       2.3737
     596       2.2683       2.4681       2.3697       2.4509
     597       2.6255       2.4220       2.4598       2.5390
     598       2.5106       2.7130       2.3248       2.6686
     599       2.7032       2.9616       2.8775       2.5710
     600       2.5107       2.7092       2.7537       2.6035
     601       2.3898       2.6791       2.4785       2.7077
     602       2.6070       2.9955       2.7039       2.6356
